Time	Node	Event	ContentID	#Hops
1	repo_1	Hit_Event	13	1
251	repo_1	Hit_Event	93	1
501	repo_1	Hit_Event	147	1
751	repo_1	Hit_Event	55	1
1001	repo_1	Hit_Event	188	1
1251	repo_1	Hit_Event	1	1
1501	repo_1	Hit_Event	4267	1
1751	repo_1	Hit_Event	38	1
2001	repo_1	Hit_Event	80	1
2251	repo_1	Hit_Event	2	1
2501	repo_1	Hit_Event	4605	1
2751	repo_1	Hit_Event	1655	1
3001	repo_1	Hit_Event	2338	1
3251	repo_1	Hit_Event	1600	1
3501	repo_1	Hit_Event	159	1
3751	repo_1	Hit_Event	40	1
4001	repo_1	Hit_Event	341	1
4251	repo_1	Hit_Event	47	1
4501	repo_1	Hit_Event	254	1
4750	cache_0	Hit_Event	2	0
5001	repo_1	Hit_Event	22	1
5251	repo_1	Hit_Event	1322	1
5501	repo_1	Hit_Event	3738	1
5751	repo_1	Hit_Event	829	1
6001	repo_1	Hit_Event	974	1
6251	repo_1	Hit_Event	165	1
6501	repo_1	Hit_Event	4	1
6751	repo_1	Hit_Event	82	1
7001	repo_1	Hit_Event	32	1
7251	repo_1	Hit_Event	42	1
7501	repo_1	Hit_Event	867	1
7751	repo_1	Hit_Event	5	1
8001	repo_1	Hit_Event	7684	1
8251	repo_1	Hit_Event	3034	1
8501	repo_1	Hit_Event	543	1
8751	repo_1	Hit_Event	1932	1
9000	cache_0	Hit_Event	1	0
9251	repo_1	Hit_Event	390	1
9501	repo_1	Hit_Event	15	1
9751	repo_1	Hit_Event	2072	1
10001	repo_1	Hit_Event	874	1
10251	repo_1	Hit_Event	149	1
10501	repo_1	Hit_Event	21	1
10750	cache_0	Hit_Event	5	0
11001	repo_1	Hit_Event	77	1
11251	repo_1	Hit_Event	26	1
11500	cache_0	Hit_Event	21	0
11751	repo_1	Hit_Event	146	1
12001	repo_1	Hit_Event	143	1
12250	cache_0	Hit_Event	1	0
12501	repo_1	Hit_Event	10	1
12751	repo_1	Hit_Event	513	1
13000	cache_0	Hit_Event	1	0
13250	cache_0	Hit_Event	2	0
13501	repo_1	Hit_Event	6	1
13751	repo_1	Hit_Event	223	1
14000	cache_0	Hit_Event	22	0
14251	repo_1	Hit_Event	86	1
14500	cache_0	Hit_Event	1	0
14751	repo_1	Hit_Event	100	1
15001	repo_1	Hit_Event	4069	1
15250	cache_0	Hit_Event	77	0
15501	repo_1	Hit_Event	9	1
15751	repo_1	Hit_Event	9606	1
16000	cache_0	Hit_Event	6	0
16251	repo_1	Hit_Event	8	1
16501	repo_1	Hit_Event	166	1
16751	repo_1	Hit_Event	3	1
17001	repo_1	Hit_Event	4788	1
17250	cache_0	Hit_Event	1	0
17500	cache_0	Hit_Event	1	0
17751	repo_1	Hit_Event	158	1
18001	repo_1	Hit_Event	3332	1
18251	repo_1	Hit_Event	91	1
18500	cache_0	Hit_Event	40	0
18751	repo_1	Hit_Event	6458	1
19001	repo_1	Hit_Event	36	1
19251	repo_1	Hit_Event	2235	1
19501	repo_1	Hit_Event	43	1
19750	cache_0	Hit_Event	22	0
20001	repo_1	Hit_Event	3661	1
20251	repo_1	Hit_Event	2628	1
20501	repo_1	Hit_Event	7	1
20750	cache_0	Hit_Event	1	0
21001	repo_1	Hit_Event	17	1
21251	repo_1	Hit_Event	1066	1
21501	repo_1	Hit_Event	251	1
21751	repo_1	Hit_Event	33	1
22001	repo_1	Hit_Event	2404	1
22251	repo_1	Hit_Event	1737	1
22500	cache_0	Hit_Event	1	0
22750	cache_0	Hit_Event	2	0
23000	cache_0	Hit_Event	10	0
23251	repo_1	Hit_Event	303	1
23501	repo_1	Hit_Event	644	1
23751	repo_1	Hit_Event	7404	1
24001	repo_1	Hit_Event	7175	1
24250	cache_0	Hit_Event	1	0
24500	cache_0	Hit_Event	1	0
24750	cache_0	Hit_Event	1	0
25000	cache_0	Hit_Event	5	0
25251	repo_1	Hit_Event	1069	1
25501	repo_1	Hit_Event	236	1
25751	repo_1	Hit_Event	107	1
26001	repo_1	Hit_Event	5303	1
26251	repo_1	Hit_Event	57	1
26501	repo_1	Hit_Event	1277	1
26750	cache_0	Hit_Event	5	0
27001	repo_1	Hit_Event	28	1
27250	cache_0	Hit_Event	1	0
27501	repo_1	Hit_Event	515	1
27750	cache_0	Hit_Event	43	0
28001	repo_1	Hit_Event	193	1
28251	repo_1	Hit_Event	30	1
28501	repo_1	Hit_Event	235	1
28750	cache_0	Hit_Event	8	0
29000	cache_0	Hit_Event	21	0
29251	repo_1	Hit_Event	593	1
29501	repo_1	Hit_Event	54	1
29750	cache_0	Hit_Event	13	0
30001	repo_1	Hit_Event	11	1
30251	repo_1	Hit_Event	9739	1
30501	repo_1	Hit_Event	6596	1
30751	repo_1	Hit_Event	27	1
31000	cache_0	Hit_Event	5	0
31250	cache_0	Hit_Event	10	0
31501	repo_1	Hit_Event	72	1
31751	repo_1	Hit_Event	1775	1
32001	repo_1	Hit_Event	184	1
32251	repo_1	Hit_Event	74	1
32501	repo_1	Hit_Event	41	1
32751	repo_1	Hit_Event	2840	1
33001	repo_1	Hit_Event	96	1
33250	cache_0	Hit_Event	3	0
33501	repo_1	Hit_Event	4401	1
33750	cache_0	Hit_Event	5	0
34001	repo_1	Hit_Event	16	1
34251	repo_1	Hit_Event	1497	1
34500	cache_0	Hit_Event	3	0
34751	repo_1	Hit_Event	5256	1
35001	repo_1	Hit_Event	4626	1
35250	cache_0	Hit_Event	5	0
35501	repo_1	Hit_Event	2810	1
35751	repo_1	Hit_Event	178	1
36000	cache_0	Hit_Event	178	0
36250	cache_0	Hit_Event	5	0
36501	repo_1	Hit_Event	383	1
36751	repo_1	Hit_Event	2945	1
37000	cache_0	Hit_Event	16	0
37250	cache_0	Hit_Event	1	0
37501	repo_1	Hit_Event	274	1
37751	repo_1	Hit_Event	404	1
38000	cache_0	Hit_Event	8	0
38250	cache_0	Hit_Event	3	0
38500	cache_0	Hit_Event	8	0
38750	cache_0	Hit_Event	1	0
39000	cache_0	Hit_Event	1	0
39250	cache_0	Hit_Event	1	0
39500	cache_0	Hit_Event	22	0
39751	repo_1	Hit_Event	955	1
40001	repo_1	Hit_Event	3214	1
40250	cache_0	Hit_Event	5	0
40501	repo_1	Hit_Event	71	1
40751	repo_1	Hit_Event	5236	1
41001	repo_1	Hit_Event	2735	1
41251	repo_1	Hit_Event	14	1
41500	cache_0	Hit_Event	16	0
41751	repo_1	Hit_Event	1938	1
42001	repo_1	Hit_Event	3083	1
42251	repo_1	Hit_Event	1206	1
42501	repo_1	Hit_Event	616	1
42751	repo_1	Hit_Event	23	1
43001	repo_1	Hit_Event	69	1
43250	cache_0	Hit_Event	2	0
43501	repo_1	Hit_Event	269	1
43751	repo_1	Hit_Event	691	1
44001	repo_1	Hit_Event	112	1
44251	repo_1	Hit_Event	19	1
44501	repo_1	Hit_Event	4	1
44750	cache_0	Hit_Event	13	0
45001	repo_1	Hit_Event	7218	1
45251	repo_1	Hit_Event	5813	1
45501	repo_1	Hit_Event	2681	1
45750	cache_0	Hit_Event	2	0
46001	repo_1	Hit_Event	60	1
46251	repo_1	Hit_Event	2987	1
46500	cache_0	Hit_Event	9	0
46751	repo_1	Hit_Event	157	1
47001	repo_1	Hit_Event	1097	1
47251	repo_1	Hit_Event	291	1
47501	repo_1	Hit_Event	368	1
47751	repo_1	Hit_Event	94	1
48001	repo_1	Hit_Event	1468	1
48250	cache_0	Hit_Event	41	0
48501	repo_1	Hit_Event	37	1
48751	repo_1	Hit_Event	165	1
