Time	Node	Event	ContentID	#Hops
1	repo_1	Hit_Event	1110	1
251	repo_1	Hit_Event	7290	1
501	repo_1	Hit_Event	3397	1
751	repo_1	Hit_Event	3034	1
1001	repo_1	Hit_Event	7	1
1251	repo_1	Hit_Event	448	1
1501	repo_1	Hit_Event	1	1
1751	repo_1	Hit_Event	3851	1
2001	repo_1	Hit_Event	4213	1
2251	repo_1	Hit_Event	12	1
2501	repo_1	Hit_Event	29	1
2750	cache_0	Hit_Event	1	0
3001	repo_1	Hit_Event	233	1
3251	repo_1	Hit_Event	26	1
3501	repo_1	Hit_Event	234	1
3751	repo_1	Hit_Event	672	1
4001	repo_1	Hit_Event	156	1
4251	repo_1	Hit_Event	10	1
4501	repo_1	Hit_Event	4	1
4751	repo_1	Hit_Event	472	1
5001	repo_1	Hit_Event	8	1
5250	cache_0	Hit_Event	1	0
5501	repo_1	Hit_Event	73	1
5750	cache_0	Hit_Event	1	0
6001	repo_1	Hit_Event	1465	1
6251	repo_1	Hit_Event	3	1
6501	repo_1	Hit_Event	1932	1
6751	repo_1	Hit_Event	2	1
7001	repo_1	Hit_Event	18	1
7250	cache_0	Hit_Event	7	0
7501	repo_1	Hit_Event	34	1
7751	repo_1	Hit_Event	24	1
8001	repo_1	Hit_Event	1939	1
8251	repo_1	Hit_Event	14	1
8501	repo_1	Hit_Event	521	1
8751	repo_1	Hit_Event	124	1
9001	repo_1	Hit_Event	609	1
9251	repo_1	Hit_Event	1326	1
9501	repo_1	Hit_Event	75	1
9750	cache_0	Hit_Event	1	0
10001	repo_1	Hit_Event	403	1
10250	cache_0	Hit_Event	14	0
10500	cache_0	Hit_Event	2	0
10750	cache_0	Hit_Event	3	0
11000	cache_0	Hit_Event	26	0
11250	cache_0	Hit_Event	1	0
11501	repo_1	Hit_Event	107	1
11751	repo_1	Hit_Event	7301	1
12001	repo_1	Hit_Event	138	1
12250	cache_0	Hit_Event	3	0
12501	repo_1	Hit_Event	2038	1
12751	repo_1	Hit_Event	504	1
13001	repo_1	Hit_Event	327	1
13250	cache_0	Hit_Event	1	0
13501	repo_1	Hit_Event	33	1
13751	repo_1	Hit_Event	51	1
14001	repo_1	Hit_Event	259	1
14251	repo_1	Hit_Event	1060	1
14501	repo_1	Hit_Event	13	1
14751	repo_1	Hit_Event	1231	1
15000	cache_0	Hit_Event	1	0
15251	repo_1	Hit_Event	1450	1
15501	repo_1	Hit_Event	47	1
15750	cache_0	Hit_Event	1	0
16001	repo_1	Hit_Event	1077	1
16250	cache_0	Hit_Event	2	0
16501	repo_1	Hit_Event	55	1
16750	cache_0	Hit_Event	12	0
17001	repo_1	Hit_Event	5259	1
17251	repo_1	Hit_Event	1538	1
17500	cache_0	Hit_Event	1	0
