Time	Node	Event	ContentID	#Hops
1	repo_1	Hit_Event	6094	1
251	repo_1	Hit_Event	11	1
501	repo_1	Hit_Event	2923	1
751	repo_1	Hit_Event	115	1
1001	repo_1	Hit_Event	3196	1
1251	repo_1	Hit_Event	1	1
1501	repo_1	Hit_Event	8917	1
1751	repo_1	Hit_Event	3	1
2001	repo_1	Hit_Event	1696	1
2251	repo_1	Hit_Event	7	1
2501	repo_1	Hit_Event	1080	1
2751	repo_1	Hit_Event	235	1
3000	cache_0	Hit_Event	1	0
3251	repo_1	Hit_Event	310	1
3501	repo_1	Hit_Event	1081	1
3751	repo_1	Hit_Event	28	1
4001	repo_1	Hit_Event	720	1
4250	cache_0	Hit_Event	1	0
4500	cache_0	Hit_Event	7	0
4751	repo_1	Hit_Event	152	1
5001	repo_1	Hit_Event	223	1
5251	repo_1	Hit_Event	30	1
5500	cache_0	Hit_Event	3	0
5751	repo_1	Hit_Event	5	1
6001	repo_1	Hit_Event	19	1
6251	repo_1	Hit_Event	216	1
6501	repo_1	Hit_Event	12	1
6751	repo_1	Hit_Event	2	1
7001	repo_1	Hit_Event	553	1
7251	repo_1	Hit_Event	27	1
7500	cache_0	Hit_Event	3	0
7750	cache_0	Hit_Event	1	0
8001	repo_1	Hit_Event	552	1
8251	repo_1	Hit_Event	10	1
8501	repo_1	Hit_Event	23	1
8751	repo_1	Hit_Event	1284	1
9000	cache_0	Hit_Event	3	0
9250	cache_0	Hit_Event	2	0
9500	cache_0	Hit_Event	1	0
9750	cache_0	Hit_Event	7	0
10001	repo_1	Hit_Event	815	1
10250	cache_0	Hit_Event	10	0
10500	cache_0	Hit_Event	11	0
10751	repo_1	Hit_Event	35	1
11001	repo_1	Hit_Event	167	1
11251	repo_1	Hit_Event	800	1
11501	repo_1	Hit_Event	110	1
11750	cache_0	Hit_Event	2	0
12001	repo_1	Hit_Event	25	1
12251	repo_1	Hit_Event	17	1
12500	cache_0	Hit_Event	3	0
12751	repo_1	Hit_Event	6	1
13000	cache_0	Hit_Event	2	0
13251	repo_1	Hit_Event	221	1
13501	repo_1	Hit_Event	3580	1
13751	repo_1	Hit_Event	938	1
14000	cache_0	Hit_Event	23	0
14251	repo_1	Hit_Event	14	1
14501	repo_1	Hit_Event	4	1
14751	repo_1	Hit_Event	15	1
15000	cache_0	Hit_Event	17	0
15250	cache_0	Hit_Event	2	0
15500	cache_0	Hit_Event	1	0
15751	repo_1	Hit_Event	1306	1
16001	repo_1	Hit_Event	83	1
16250	cache_0	Hit_Event	6	0
16501	repo_1	Hit_Event	297	1
16751	repo_1	Hit_Event	209	1
17000	cache_0	Hit_Event	15	0
17251	repo_1	Hit_Event	8	1
17501	repo_1	Hit_Event	5711	1
17751	repo_1	Hit_Event	3834	1
18001	repo_1	Hit_Event	910	1
18251	repo_1	Hit_Event	681	1
18501	repo_1	Hit_Event	4443	1
18751	repo_1	Hit_Event	263	1
19001	repo_1	Hit_Event	314	1
19251	repo_1	Hit_Event	18	1
19501	repo_1	Hit_Event	3280	1
19751	repo_1	Hit_Event	1700	1
20000	cache_0	Hit_Event	4	0
20251	repo_1	Hit_Event	509	1
20500	cache_0	Hit_Event	10	0
20751	repo_1	Hit_Event	2082	1
21000	cache_0	Hit_Event	6	0
21251	repo_1	Hit_Event	34	1
21500	cache_0	Hit_Event	11	0
21750	cache_0	Hit_Event	27	0
22001	repo_1	Hit_Event	583	1
22250	cache_0	Hit_Event	5	0
22501	repo_1	Hit_Event	43	1
22750	cache_0	Hit_Event	2	0
23000	cache_0	Hit_Event	4	0
23251	repo_1	Hit_Event	2101	1
23501	repo_1	Hit_Event	329	1
23750	cache_0	Hit_Event	11	0
24001	repo_1	Hit_Event	237	1
24251	repo_1	Hit_Event	231	1
24500	cache_0	Hit_Event	3	0
24750	cache_0	Hit_Event	3	0
25001	repo_1	Hit_Event	987	1
25251	repo_1	Hit_Event	774	1
25501	repo_1	Hit_Event	972	1
25751	repo_1	Hit_Event	13	1
26001	repo_1	Hit_Event	228	1
26251	repo_1	Hit_Event	3477	1
26500	cache_0	Hit_Event	1	0
26751	repo_1	Hit_Event	6356	1
27001	repo_1	Hit_Event	2307	1
27251	repo_1	Hit_Event	192	1
27501	repo_1	Hit_Event	29	1
27751	repo_1	Hit_Event	7626	1
28001	repo_1	Hit_Event	137	1
28250	cache_0	Hit_Event	34	0
28500	cache_0	Hit_Event	11	0
28751	repo_1	Hit_Event	1350	1
29000	cache_0	Hit_Event	4	0
29250	cache_0	Hit_Event	1	0
29500	cache_0	Hit_Event	1	0
29751	repo_1	Hit_Event	215	1
30000	cache_0	Hit_Event	12	0
30250	cache_0	Hit_Event	2	0
30501	repo_1	Hit_Event	132	1
30751	repo_1	Hit_Event	2060	1
31000	cache_0	Hit_Event	2	0
31251	repo_1	Hit_Event	7644	1
