Time	Node	Event	ContentID	#Hops
1	repo_1	Hit_Event	452	1
251	repo_1	Hit_Event	1598	1
501	repo_1	Hit_Event	277	1
751	repo_1	Hit_Event	2	1
1001	repo_1	Hit_Event	47	1
1251	repo_1	Hit_Event	4149	1
1501	repo_1	Hit_Event	2613	1
1751	repo_1	Hit_Event	4	1
2001	repo_1	Hit_Event	353	1
2251	repo_1	Hit_Event	557	1
2501	repo_1	Hit_Event	1659	1
2751	repo_1	Hit_Event	91	1
3001	repo_1	Hit_Event	284	1
3251	repo_1	Hit_Event	3	1
3501	repo_1	Hit_Event	526	1
3750	cache_0	Hit_Event	2	0
4001	repo_1	Hit_Event	6	1
4251	repo_1	Hit_Event	222	1
4501	repo_1	Hit_Event	1617	1
4751	repo_1	Hit_Event	1	1
5001	repo_1	Hit_Event	347	1
5251	repo_1	Hit_Event	505	1
5501	repo_1	Hit_Event	119	1
5751	repo_1	Hit_Event	3085	1
6001	repo_1	Hit_Event	7	1
6250	cache_0	Hit_Event	3	0
6501	repo_1	Hit_Event	73	1
6751	repo_1	Hit_Event	404	1
7001	repo_1	Hit_Event	1975	1
7251	repo_1	Hit_Event	2936	1
7500	cache_0	Hit_Event	1	0
7750	cache_0	Hit_Event	2	0
8001	repo_1	Hit_Event	1387	1
8251	repo_1	Hit_Event	5	1
8500	cache_0	Hit_Event	1	0
8751	repo_1	Hit_Event	7156	1
9001	repo_1	Hit_Event	117	1
9251	repo_1	Hit_Event	1860	1
9501	repo_1	Hit_Event	11	1
9750	cache_0	Hit_Event	1	0
10000	cache_0	Hit_Event	6	0
10251	repo_1	Hit_Event	242	1
10501	repo_1	Hit_Event	101	1
10751	repo_1	Hit_Event	216	1
11000	cache_0	Hit_Event	1	0
11251	repo_1	Hit_Event	17	1
11500	cache_0	Hit_Event	1	0
11751	repo_1	Hit_Event	9774	1
12001	repo_1	Hit_Event	12	1
12250	cache_0	Hit_Event	1	0
12501	repo_1	Hit_Event	3343	1
12751	repo_1	Hit_Event	9761	1
13001	repo_1	Hit_Event	384	1
13251	repo_1	Hit_Event	80	1
13501	repo_1	Hit_Event	10	1
13751	repo_1	Hit_Event	318	1
14000	cache_0	Hit_Event	1	0
14250	cache_0	Hit_Event	2	0
14501	repo_1	Hit_Event	51	1
14750	cache_0	Hit_Event	17	0
15000	cache_0	Hit_Event	4	0
15251	repo_1	Hit_Event	468	1
15501	repo_1	Hit_Event	96	1
15751	repo_1	Hit_Event	167	1
16001	repo_1	Hit_Event	530	1
16251	repo_1	Hit_Event	3988	1
16501	repo_1	Hit_Event	9	1
16751	repo_1	Hit_Event	19	1
17001	repo_1	Hit_Event	1703	1
17251	repo_1	Hit_Event	238	1
17500	cache_0	Hit_Event	1	0
17750	cache_0	Hit_Event	9	0
18000	cache_0	Hit_Event	1	0
18251	repo_1	Hit_Event	1958	1
18501	repo_1	Hit_Event	1500	1
18750	cache_0	Hit_Event	2	0
19001	repo_1	Hit_Event	3635	1
19251	repo_1	Hit_Event	22	1
19500	cache_0	Hit_Event	9	0
19751	repo_1	Hit_Event	57	1
20001	repo_1	Hit_Event	670	1
