Time	Node	Event	ContentID	#Hops
1	repo_1	Hit_Event	1	1
251	repo_1	Hit_Event	6216	1
501	repo_1	Hit_Event	2	1
751	repo_1	Hit_Event	98	1
1001	repo_1	Hit_Event	180	1
1251	repo_1	Hit_Event	121	1
1501	repo_1	Hit_Event	1141	1
1751	repo_1	Hit_Event	26	1
2001	repo_1	Hit_Event	15	1
2250	cache_0	Hit_Event	1	0
2501	repo_1	Hit_Event	47	1
2751	repo_1	Hit_Event	8232	1
3000	cache_0	Hit_Event	2	0
3250	cache_0	Hit_Event	2	0
3501	repo_1	Hit_Event	4366	1
3751	repo_1	Hit_Event	8745	1
4000	cache_0	Hit_Event	1	0
4251	repo_1	Hit_Event	265	1
4501	repo_1	Hit_Event	7839	1
4751	repo_1	Hit_Event	4400	1
5001	repo_1	Hit_Event	4	1
5251	repo_1	Hit_Event	147	1
5501	repo_1	Hit_Event	16	1
5751	repo_1	Hit_Event	32	1
6001	repo_1	Hit_Event	8798	1
6250	cache_0	Hit_Event	2	0
6501	repo_1	Hit_Event	317	1
6751	repo_1	Hit_Event	5	1
7001	repo_1	Hit_Event	212	1
7250	cache_0	Hit_Event	1	0
7501	repo_1	Hit_Event	9816	1
7751	repo_1	Hit_Event	114	1
8001	repo_1	Hit_Event	683	1
8251	repo_1	Hit_Event	914	1
8501	repo_1	Hit_Event	2247	1
8751	repo_1	Hit_Event	37	1
9000	cache_0	Hit_Event	1	0
9251	repo_1	Hit_Event	570	1
9501	repo_1	Hit_Event	459	1
9750	cache_0	Hit_Event	2	0
10001	repo_1	Hit_Event	2282	1
10251	repo_1	Hit_Event	72	1
10501	repo_1	Hit_Event	6669	1
10751	repo_1	Hit_Event	1981	1
11001	repo_1	Hit_Event	1018	1
11251	repo_1	Hit_Event	1618	1
11501	repo_1	Hit_Event	24	1
11751	repo_1	Hit_Event	6	1
12001	repo_1	Hit_Event	810	1
12251	repo_1	Hit_Event	2427	1
12501	repo_1	Hit_Event	1869	1
12751	repo_1	Hit_Event	165	1
13001	repo_1	Hit_Event	2881	1
13251	repo_1	Hit_Event	795	1
13501	repo_1	Hit_Event	452	1
13751	repo_1	Hit_Event	405	1
14001	repo_1	Hit_Event	722	1
14251	repo_1	Hit_Event	5611	1
14501	repo_1	Hit_Event	3	1
14750	cache_0	Hit_Event	1	0
15001	repo_1	Hit_Event	87	1
15251	repo_1	Hit_Event	793	1
15501	repo_1	Hit_Event	784	1
15751	repo_1	Hit_Event	7	1
16000	cache_0	Hit_Event	15	0
16251	repo_1	Hit_Event	30	1
16501	repo_1	Hit_Event	5622	1
16750	cache_0	Hit_Event	4	0
